 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.03E-01   8.26E-04   4.45E-06   5.03E-10   1.91E-11   1.06E-11
   Max.:          2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
    44      45    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    45      46    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    46      47    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    47      48    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    48      49    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    49      50    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    50      51    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    51      52    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    52      53    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    53      54    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    54      55    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    55      56    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    56      57    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    57      58    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    58      59    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    59      60    2.53E+01   5.15E-02   1.85E-04   4.35E-08   5.59E-09   2.42E-09
    60      61    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
    61      62    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
    62      63    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
    63      64    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
    64      65    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
    65      66    1.33E+01   3.75E-02   1.83E-04   3.35E-08   3.03E-09   1.33E-09
