 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  4.90E-03   2.34E-06   1.26E-06   1.21E-06
  5.01E-03   2.26E-06   1.21E-06   1.17E-06
  5.13E-03   2.19E-06   1.17E-06   1.13E-06
  5.25E-03   2.12E-06   1.13E-06   1.09E-06
  5.37E-03   2.06E-06   1.10E-06   1.06E-06
  5.50E-03   1.99E-06   1.06E-06   1.02E-06
  5.62E-03   1.94E-06   1.03E-06   9.92E-07
  5.75E-03   1.88E-06   9.94E-07   9.61E-07
  5.89E-03   1.82E-06   9.64E-07   9.32E-07
  6.03E-03   1.77E-06   9.34E-07   9.04E-07
  6.17E-03   1.72E-06   9.06E-07   8.77E-07
  6.31E-03   1.68E-06   8.79E-07   8.51E-07
  6.46E-03   1.63E-06   8.53E-07   8.26E-07
  6.61E-03   1.59E-06   8.28E-07   8.02E-07
  6.76E-03   1.54E-06   8.04E-07   7.79E-07
  6.92E-03   1.50E-06   7.81E-07   7.57E-07
  7.08E-03   1.46E-06   7.59E-07   7.35E-07
  7.24E-03   1.42E-06   7.37E-07   7.15E-07
  7.41E-03   1.39E-06   7.16E-07   6.95E-07
  7.59E-03   1.35E-06   6.96E-07   6.75E-07
  7.76E-03   1.32E-06   6.77E-07   6.56E-07
  7.94E-03   1.28E-06   6.57E-07   6.38E-07
  8.13E-03   1.25E-06   6.39E-07   6.20E-07
  8.32E-03   1.22E-06   6.21E-07   6.03E-07
  8.51E-03   1.18E-06   6.03E-07   5.86E-07
  8.71E-03   1.15E-06   5.86E-07   5.69E-07
  8.91E-03   1.12E-06   5.69E-07   5.53E-07
  9.12E-03   1.09E-06   5.53E-07   5.37E-07
  9.33E-03   1.06E-06   5.37E-07   5.22E-07
  9.55E-03   1.03E-06   5.21E-07   5.06E-07
  9.77E-03   1.00E-06   5.05E-07   4.91E-07
  1.00E-02   9.76E-07   4.90E-07   4.77E-07
  1.02E-02   9.49E-07   4.75E-07   4.62E-07
  1.05E-02   9.23E-07   4.61E-07   4.49E-07
  1.07E-02   8.97E-07   4.47E-07   4.35E-07
  1.10E-02   8.73E-07   4.34E-07   4.23E-07
  1.12E-02   8.50E-07   4.22E-07   4.11E-07
  1.15E-02   8.28E-07   4.10E-07   3.99E-07
  1.17E-02   8.06E-07   3.98E-07   3.88E-07
  1.20E-02   7.85E-07   3.87E-07   3.77E-07
  1.23E-02   7.65E-07   3.76E-07   3.66E-07
  1.26E-02   7.46E-07   3.66E-07   3.56E-07
  1.29E-02   7.27E-07   3.56E-07   3.47E-07
  1.32E-02   7.09E-07   3.46E-07   3.37E-07
  1.35E-02   6.91E-07   3.36E-07   3.28E-07
  1.38E-02   6.74E-07   3.27E-07   3.19E-07
  1.41E-02   6.58E-07   3.19E-07   3.11E-07
  1.45E-02   6.42E-07   3.10E-07   3.03E-07
  1.48E-02   6.26E-07   3.02E-07   2.94E-07
  1.51E-02   6.11E-07   2.94E-07   2.87E-07
  1.55E-02   5.96E-07   2.86E-07   2.79E-07
  1.58E-02   5.82E-07   2.78E-07   2.72E-07
  1.62E-02   5.68E-07   2.71E-07   2.65E-07
  1.66E-02   5.54E-07   2.64E-07   2.58E-07
  1.70E-02   5.41E-07   2.57E-07   2.51E-07
  1.74E-02   5.28E-07   2.50E-07   2.44E-07
  1.78E-02   5.15E-07   2.43E-07   2.38E-07
  1.82E-02   5.03E-07   2.37E-07   2.32E-07
  1.86E-02   4.91E-07   2.31E-07   2.25E-07
  1.91E-02   4.79E-07   2.24E-07   2.20E-07
  1.95E-02   4.67E-07   2.18E-07   2.14E-07
  2.00E-02   4.56E-07   2.13E-07   2.08E-07
  2.04E-02   4.45E-07   2.07E-07   2.02E-07
  2.09E-02   4.34E-07   2.01E-07   1.97E-07
  2.14E-02   4.23E-07   1.96E-07   1.92E-07
  2.19E-02   4.13E-07   1.90E-07   1.87E-07
  2.24E-02   4.03E-07   1.85E-07   1.82E-07
  2.29E-02   3.93E-07   1.80E-07   1.77E-07
  2.34E-02   3.83E-07   1.75E-07   1.72E-07
  2.40E-02   3.73E-07   1.70E-07   1.67E-07
  2.45E-02   3.64E-07   1.66E-07   1.62E-07
  2.51E-02   3.55E-07   1.61E-07   1.58E-07
  2.57E-02   3.46E-07   1.57E-07   1.54E-07
  2.63E-02   3.37E-07   1.52E-07   1.49E-07
  2.69E-02   3.28E-07   1.48E-07   1.45E-07
  2.75E-02   3.20E-07   1.44E-07   1.41E-07
  2.82E-02   3.12E-07   1.40E-07   1.37E-07
  2.88E-02   3.04E-07   1.36E-07   1.33E-07
  2.95E-02   2.96E-07   1.32E-07   1.29E-07
  3.02E-02   2.88E-07   1.28E-07   1.26E-07
  3.09E-02   2.81E-07   1.24E-07   1.22E-07
  3.16E-02   2.73E-07   1.21E-07   1.19E-07
  3.24E-02   2.66E-07   1.17E-07   1.15E-07
  3.31E-02   2.57E-07   1.12E-07   1.10E-07
  3.39E-02   2.49E-07   1.08E-07   1.06E-07
  3.47E-02   2.40E-07   1.04E-07   1.02E-07
  3.55E-02   2.32E-07   9.93E-08   9.78E-08
  3.63E-02   2.24E-07   9.54E-08   9.40E-08
  3.72E-02   2.17E-07   9.18E-08   9.05E-08
  3.80E-02   2.11E-07   8.85E-08   8.72E-08
  3.89E-02   2.05E-07   8.55E-08   8.43E-08
  3.98E-02   2.00E-07   8.27E-08   8.15E-08
  4.07E-02   1.95E-07   8.01E-08   7.90E-08
  4.17E-02   1.90E-07   7.76E-08   7.65E-08
  4.27E-02   1.85E-07   7.52E-08   7.42E-08
  4.37E-02   1.81E-07   7.30E-08   7.20E-08
  4.47E-02   1.77E-07   7.08E-08   6.99E-08
  4.57E-02   1.73E-07   6.87E-08   6.78E-08
  4.68E-02   1.69E-07   6.67E-08   6.59E-08
  4.79E-02   1.65E-07   6.47E-08   6.40E-08
  4.90E-02   1.62E-07   6.29E-08   6.22E-08
  5.01E-02   1.58E-07   6.11E-08   6.04E-08
  5.13E-02   1.55E-07   5.93E-08   5.87E-08
  5.25E-02   1.52E-07   5.77E-08   5.71E-08
  5.37E-02   1.48E-07   5.61E-08   5.55E-08
  5.50E-02   1.45E-07   5.45E-08   5.40E-08
  5.62E-02   1.42E-07   5.30E-08   5.25E-08
  5.75E-02   1.40E-07   5.16E-08   5.11E-08
  5.89E-02   1.37E-07   5.02E-08   4.97E-08
  6.03E-02   1.34E-07   4.89E-08   4.84E-08
  6.17E-02   1.32E-07   4.76E-08   4.72E-08
  6.31E-02   1.29E-07   4.64E-08   4.60E-08
  6.46E-02   1.27E-07   4.52E-08   4.48E-08
  6.61E-02   1.25E-07   4.41E-08   4.37E-08
  6.76E-02   1.23E-07   4.30E-08   4.27E-08
  6.92E-02   1.21E-07   4.20E-08   4.16E-08
  7.08E-02   1.19E-07   4.10E-08   4.06E-08
  7.24E-02   1.17E-07   4.00E-08   3.97E-08
  7.41E-02   1.15E-07   3.91E-08   3.88E-08
  7.59E-02   1.13E-07   3.82E-08   3.79E-08
  7.76E-02   1.11E-07   3.73E-08   3.71E-08
  7.94E-02   1.10E-07   3.65E-08   3.63E-08
  8.13E-02   1.08E-07   3.57E-08   3.55E-08
  8.32E-02   1.07E-07   3.50E-08   3.47E-08
  8.51E-02   1.05E-07   3.42E-08   3.40E-08
  8.71E-02   1.04E-07   3.36E-08   3.33E-08
  8.91E-02   1.02E-07   3.29E-08   3.27E-08
  9.12E-02   1.01E-07   3.22E-08   3.20E-08
  9.33E-02   1.00E-07   3.16E-08   3.14E-08
  9.55E-02   9.88E-08   3.10E-08   3.09E-08
  9.77E-02   9.77E-08   3.05E-08   3.03E-08
  1.00E-01   9.67E-08   2.99E-08   2.98E-08
  1.02E-01   9.57E-08   2.94E-08   2.93E-08
  1.05E-01   9.46E-08   2.89E-08   2.88E-08
  1.07E-01   9.36E-08   2.85E-08   2.83E-08
  1.10E-01   9.27E-08   2.80E-08   2.79E-08
  1.12E-01   9.17E-08   2.75E-08   2.74E-08
  1.15E-01   9.07E-08   2.71E-08   2.69E-08
  1.17E-01   8.97E-08   2.66E-08   2.65E-08
  1.20E-01   8.88E-08   2.62E-08   2.61E-08
  1.23E-01   8.79E-08   2.58E-08   2.56E-08
  1.26E-01   8.69E-08   2.53E-08   2.52E-08
  1.29E-01   8.60E-08   2.49E-08   2.48E-08
  1.32E-01   8.51E-08   2.45E-08   2.44E-08
  1.35E-01   8.42E-08   2.41E-08   2.40E-08
  1.38E-01   8.34E-08   2.37E-08   2.36E-08
  1.41E-01   8.25E-08   2.33E-08   2.32E-08
  1.45E-01   8.16E-08   2.30E-08   2.29E-08
  1.48E-01   8.08E-08   2.26E-08   2.25E-08
  1.51E-01   8.00E-08   2.22E-08   2.22E-08
  1.55E-01   7.91E-08   2.19E-08   2.18E-08
  1.58E-01   7.83E-08   2.15E-08   2.15E-08
  1.62E-01   7.75E-08   2.12E-08   2.11E-08
  1.66E-01   7.67E-08   2.09E-08   2.08E-08
  1.70E-01   7.60E-08   2.06E-08   2.05E-08
  1.74E-01   7.52E-08   2.02E-08   2.02E-08
  1.78E-01   7.45E-08   1.99E-08   1.99E-08
  1.82E-01   7.37E-08   1.96E-08   1.96E-08
  1.86E-01   7.30E-08   1.93E-08   1.93E-08
  1.91E-01   7.23E-08   1.91E-08   1.90E-08
  1.95E-01   7.16E-08   1.88E-08   1.87E-08
  2.00E-01   7.09E-08   1.85E-08   1.85E-08
  2.04E-01   7.02E-08   1.82E-08   1.82E-08
  2.09E-01   6.96E-08   1.80E-08   1.79E-08
  2.14E-01   6.89E-08   1.77E-08   1.77E-08
  2.19E-01   6.83E-08   1.75E-08   1.74E-08
  2.24E-01   6.77E-08   1.73E-08   1.72E-08
  2.29E-01   6.71E-08   1.70E-08   1.70E-08
  2.34E-01   6.65E-08   1.68E-08   1.68E-08
