 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2027  Perigee Altitude =    283.065  Apogee Altitude =   283.433  inc =   51.62
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          5.84E-02   4.48E-04   2.81E-06   5.87E-11   1.02E-11   7.48E-12
   Max.:          9.56E+00   1.30E-02   9.07E-05   7.93E-09   6.54E-10   2.91E-10
 ------  ------   --------   --------   --------   --------   --------   --------  
   -61     -60    5.15E+00   1.23E-02   9.07E-05   7.93E-09   5.42E-10   2.91E-10
   -60     -59    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -59     -58    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -58     -57    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -57     -56    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -56     -55    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -55     -54    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -54     -53    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -53     -52    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -52     -51    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -51     -50    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -50     -49    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -49     -48    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -48     -47    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -47     -46    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -46     -45    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -45     -44    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -44     -43    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -43     -42    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -42     -41    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -41     -40    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -40     -39    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -39     -38    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -38     -37    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -37     -36    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -36     -35    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -35     -34    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -34     -33    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -33     -32    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -32     -31    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -31     -30    9.56E+00   1.30E-02   5.43E-05   4.94E-09   6.54E-10   2.65E-10
   -30     -29    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -29     -28    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -28     -27    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -27     -26    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -26     -25    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -25     -24    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -24     -23    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -23     -22    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -22     -21    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -21     -20    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -20     -19    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -19     -18    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -18     -17    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -17     -16    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -16     -15    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -15     -14    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -14     -13    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -13     -12    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -12     -11    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -11     -10    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
   -10      -9    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -9      -8    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -8      -7    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -7      -6    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -6      -5    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -5      -4    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -4      -3    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -3      -2    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -2      -1    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
    -1       0    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     0       1    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     1       2    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     2       3    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     3       4    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     4       5    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     5       6    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     6       7    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     7       8    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
     8       9    6.95E+00   6.64E-03   6.97E-06   2.25E-09   3.40E-10   1.41E-10
