 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2026  Perigee Altitude =    413.000  Apogee Altitude =   422.000  inc =   51.64
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  3.02E-02   1.98E-06   6.59E-07   6.55E-07
  3.09E-02   1.94E-06   6.44E-07   6.40E-07
  3.16E-02   1.89E-06   6.29E-07   6.25E-07
  3.24E-02   1.85E-06   6.12E-07   6.08E-07
  3.31E-02   1.80E-06   5.93E-07   5.89E-07
  3.39E-02   1.75E-06   5.75E-07   5.71E-07
  3.47E-02   1.70E-06   5.56E-07   5.52E-07
  3.55E-02   1.65E-06   5.38E-07   5.35E-07
  3.63E-02   1.61E-06   5.22E-07   5.18E-07
  3.72E-02   1.56E-06   5.07E-07   5.03E-07
  3.80E-02   1.53E-06   4.93E-07   4.89E-07
  3.89E-02   1.49E-06   4.80E-07   4.77E-07
  3.98E-02   1.46E-06   4.68E-07   4.65E-07
  4.07E-02   1.43E-06   4.56E-07   4.54E-07
  4.17E-02   1.40E-06   4.46E-07   4.43E-07
  4.27E-02   1.37E-06   4.36E-07   4.33E-07
  4.37E-02   1.35E-06   4.26E-07   4.24E-07
  4.47E-02   1.32E-06   4.17E-07   4.14E-07
  4.57E-02   1.30E-06   4.08E-07   4.05E-07
  4.68E-02   1.28E-06   3.99E-07   3.97E-07
  4.79E-02   1.25E-06   3.90E-07   3.88E-07
  4.90E-02   1.23E-06   3.82E-07   3.80E-07
  5.01E-02   1.21E-06   3.74E-07   3.72E-07
  5.13E-02   1.19E-06   3.67E-07   3.65E-07
  5.25E-02   1.17E-06   3.59E-07   3.57E-07
  5.37E-02   1.15E-06   3.52E-07   3.50E-07
  5.50E-02   1.13E-06   3.45E-07   3.43E-07
  5.62E-02   1.11E-06   3.38E-07   3.36E-07
  5.75E-02   1.09E-06   3.32E-07   3.30E-07
  5.89E-02   1.08E-06   3.25E-07   3.24E-07
  6.03E-02   1.06E-06   3.19E-07   3.17E-07
  6.17E-02   1.04E-06   3.13E-07   3.12E-07
  6.31E-02   1.03E-06   3.07E-07   3.06E-07
  6.46E-02   1.01E-06   3.02E-07   3.00E-07
